Semester;Modul;Kurs-ID;ECTS;Status;Prüfung;Prüfungsart;Prüfungsstatus;Frist/Datum;Maximalpunkte;Punkte;Note
1;Einführung in die Wirtschaftsinformatik;DLBWIEWI01;5;ABGESCHLOSSEN;Klausur Wirtschaftsinformatik;KLAUSUR;BESTANDEN;2024-05-10;100;73;2,7
1;BWL I;BBWL01-01;3;ABGESCHLOSSEN;Klausur BWL I;KLAUSUR;BESTANDEN;2024-10-30;100;78;2,3
1;BWL II;BBWL02-01;2;ABGESCHLOSSEN;Klausur BWL II;KLAUSUR;BESTANDEN;2024-10-30;100;78;2,3
1;Einführung in das wissenschaftliche Arbeiten für IT und Technik;DLBWIRITT01;5;ABGESCHLOSSEN;Wissenschaftliche Ausarbeitung;HAUSARBEIT;BESTANDEN;2025-07-30;100;98;1,0
2;Datenmodellierung und Datenbanksysteme;IDBS01;5;ABGESCHLOSSEN;Klausur Datenmodellierung und Datenbanksysteme;KLAUSUR;BESTANDEN;2025-06-28;100;88;1,7
4;Projekt: Digitale Business-Modelle;DLBWPPDBM01;5;ABGESCHLOSSEN;Projektbericht Digitale Business-Modelle;HAUSARBEIT;BESTANDEN;2026-03-13;100;78;2,3
2;Informationssysteme und Integration;DLBWIII01;5;ABGESCHLOSSEN;Klausur Informationssysteme und Integration;KLAUSUR;BESTANDEN;2025-07-22;100;97;1,0
2;Mathematik Grundlagen I;IMT101;5;ABGESCHLOSSEN;Klausur Mathematik Grundlagen I;KLAUSUR;BESTANDEN;2025-07-11;100;79;2,3
2;Data Analytics und Big Data;DLBINGDABD01;5;ABGESCHLOSSEN;Klausur Data Analytics und Big Data;KLAUSUR;BESTANDEN;2025-10-06;100;93;1,3
1;Grundlagen der objektorientierten Programmierung mit Java;IOBP01;5;ABGESCHLOSSEN;Klausur objektorientierte Programmierung;KLAUSUR;BESTANDEN;2024-10-12;100;74;2,7
3;Projekt: Design Thinking für IT;DLBWIPDTIT01;5;ABGESCHLOSSEN;Projektbericht Design Thinking;HAUSARBEIT;BESTANDEN;2025-12-22;100;92;1,3
3;Buchführung und Bilanzierung I;BBUB01-01;3;ABGESCHLOSSEN;Klausur Buchführung I;KLAUSUR;BESTANDEN;2025-11-07;100;83;2,0
3;Buchführung und Bilanzierung II;BBUB02-01;2;ABGESCHLOSSEN;Klausur Buchführung II;KLAUSUR;BESTANDEN;2025-11-07;100;83;2,0
3;Statistik;BSTA01-02;5;ABGESCHLOSSEN;Klausur Statistik;KLAUSUR;BESTANDEN;2026-01-30;100;88;1,7
3;IT-Projektmanagement;IPMG01-01;5;ABGESCHLOSSEN;Klausur IT-Projektmanagement;KLAUSUR;BESTANDEN;2025-12-07;100;94;1,3
2;Requirements Engineering;IREN01;5;ABGESCHLOSSEN;Klausur Requirements Engineering;KLAUSUR;BESTANDEN;2025-06-02;100;87;1,7
4;Projekt: Datenmodellierung;DLBWIPDM01;5;ABGESCHLOSSEN;Projektbericht Datenmodellierung;HAUSARBEIT;BESTANDEN;2026-03-09;100;89;1,7
4;Qualitätssicherung im Softwareprozess;IQSS01;5;ABGESCHLOSSEN;Klausur Qualitätssicherung;KLAUSUR;BESTANDEN;2026-03-04;100;97;1,0
3;Einführung in Datenschutz und IT-Sicherheit;DLBISIC01;5;ABGESCHLOSSEN;Klausur Datenschutz und IT-Sicherheit;KLAUSUR;BESTANDEN;2026-03-27;100;93;1,3
4;Supply Chain Management;DLBLOSCM01;5;ABGESCHLOSSEN;Klausur Supply Chain Management;KLAUSUR;BESTANDEN;2026-04-12;100;88;1,7
4;Projekt: Analyse von Prozessen und Wertströmen;DLBWIPAPW01;5;ABGESCHLOSSEN;Projektbericht Prozesse und Wertströme;HAUSARBEIT;BESTANDEN;2026-06-25;100;98;1,0
4;Einführung in die Programmierung mit Python;DLBDSIPWP01_D;5;ABGESCHLOSSEN;Klausur Programmierung mit Python;KLAUSUR;BESTANDEN;2026-06-09;100;97;1,0
